web-scraper-order,web-scraper-start-url,coctail-preview,coctail-preview-href,ingredient,ingredient amount,tool,tool-amount,coctail,recipe-steps,coctail-description,image
"1585859856-514","https://ru.inshaker.com/cocktails?random_page=2000","Драй мартини","https://ru.inshaker.com/cocktails/24-dray-martini","[{""ingredient"":""Лондонский сухой джин""},{""ingredient"":""Сухой вермут""},{""ingredient"":""Оливки""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""75""},{""ingredient amount"":""15""},{""ingredient amount"":""3""},{""ingredient amount"":""300""}]","[{""tool"":""Коктейльный бокал""},{""tool"":""Стакан для смешивания""},{""tool"":""Стрейнер""},{""tool"":""Джиггер""},{""tool"":""Коктейльная ложка""},{""tool"":""Коктейльная шпажка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Драй мартини","[{""recipe-steps"":""Налей в стакан для смешивания сухой вермут 15 мл и джин 75 мл""},{""recipe-steps"":""Наполни стакан кубиками льда и размешай коктейльной ложкой""},{""recipe-steps"":""Перелей через стрейнер в охлажденный коктейльный бокал""},{""recipe-steps"":""Укрась оливкой на шпажке""}]","Хотите попробовать ""Драй мартини""? Это крепкикй классический коктейль с джином и вермутом. Очень прост в приготовлении, а на вкус сухой и немного травяной. Традиционно украшается оливкой, можно сделать коктейль ""грязным"" и добавить в него немного оливкового рассола.","background-image: url(""/uploads/cocktail/promo/24/1542205054-Dry_Martini-sitepromo-new.jpg"");"
"1585860561-830","https://ru.inshaker.com/cocktails?random_page=2000","Мари лав","https://ru.inshaker.com/cocktails/678-mari-lav","[{""ingredient"":""Дженевер""},{""ingredient"":""Ликер маракуйи""},{""ingredient"":""Сахарный сироп""},{""ingredient"":""Малиновый сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Малина""},{""ingredient"":""Мята""},{""ingredient"":""Апельсиновый джем""},{""ingredient"":""Сахарная пудра""},{""ingredient"":""Коктейльная вишня красная""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""30""},{""ingredient amount"":""10""},{""ingredient amount"":""10""},{""ingredient amount"":""15""},{""ingredient amount"":""30""},{""ingredient amount"":""2""},{""ingredient amount"":""10""},{""ingredient amount"":""1""},{""ingredient amount"":""15""},{""ingredient amount"":""200""}]","[{""tool"":""Шампанское блюдце""},{""tool"":""Шейкер""},{""tool"":""Джиггер""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Коктейльная ложка""},{""tool"":""Ситечко""},{""tool"":""Мадлер""},{""tool"":""Стрейнер""},{""tool"":""Коктейльная шпажка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Мари лав","[{""recipe-steps"":""Сделай на шампанском блюдце окаемку из сахарной пудры""},{""recipe-steps"":""Положи в шейкер апельсиновый джем 2 к. ложки""},{""recipe-steps"":""Добавь малину 6 ягод, мяту 5 листиков и подави мадлером""},{""recipe-steps"":""Налей лимонный сок 15 мл, сахарный сироп 10 мл, малиновый сироп 10 мл, ликер маракуйи 30 мл и дженевер 50 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер и ситечко в охлажденный бокал""},{""recipe-steps"":""Укрась тремя коктейльными вишнями с листиками мяты на шпажке""}]","Вам нравятся шорты? Тогда попробуйте этот ягодный, цитрусовый, тропический, мятный и сладкий коктейль на основе джина, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/678/1542205400-My_favorite_Maria-promo.jpg"");"
"1585860687-890","https://ru.inshaker.com/cocktails?random_page=2000","Восточный экспресс","https://ru.inshaker.com/cocktails/293-vostochnyy-ekspress","[{""ingredient"":""Шотландский виски""},{""ingredient"":""Ликер корицы BOLS""},{""ingredient"":""Ванильный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Белок перепелиного яйца""},{""ingredient"":""Апельсин""},{""ingredient"":""Корень имбиря""},{""ingredient"":""Коктейльная вишня красная""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""40""},{""ingredient amount"":""10""},{""ingredient amount"":""20""},{""ingredient amount"":""15""},{""ingredient amount"":""25""},{""ingredient amount"":""40""},{""ingredient amount"":""5""},{""ingredient amount"":""5""},{""ingredient amount"":""320""}]","[{""tool"":""Рокс""},{""tool"":""Мадлер""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Стрейнер""},{""tool"":""Шейкер""},{""tool"":""Джиггер""},{""tool"":""Ситечко""},{""tool"":""Трубочки""},{""tool"":""Коктейльная шпажка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""},{""tool-amount"":""1""}]","Восточный экспресс","[{""recipe-steps"":""Наполни рокс кубиками льда доверху""},{""recipe-steps"":""Положи в шейкер дольку имбиря и подави мадлером""},{""recipe-steps"":""Налей белок перепелиного яйца 25 мл, лимонный сок 15 мл, ванильный сироп 20 мл, ликер корицы 10 мл и шотландский виски 40 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и тщательно взбей""},{""recipe-steps"":""Перелей через стрейнер и ситечко в рокс""},{""recipe-steps"":""Укрась дольками апельсина и коктейльной вишней на шпажке""}]","Вам нравятся крепкие сауэры? Тогда попробуйте этот кислый, цитрусовый и пряный коктейль на основе виски.","background-image: url(""/uploads/cocktail/promo/293/1542205206-Orient-Express-_promo.jpg"");"
"1585858784-69","https://ru.inshaker.com/cocktails?random_page=2000","Растафарай","https://ru.inshaker.com/cocktails/744-rastafaray","[{""ingredient"":""Абсент""},{""ingredient"":""Красный биттер Campari""},{""ingredient"":""Сахарный сироп""},{""ingredient"":""Вода без газа""}]","[{""ingredient amount"":""15""},{""ingredient amount"":""15""},{""ingredient amount"":""2""},{""ingredient amount"":""10""}]","[{""tool"":""Стопка""},{""tool"":""Коктейльная ложка""},{""tool"":""Трубочки""},{""tool"":""Горелка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Растафарай","[{""recipe-steps"":""Налей в стопку красный биттер 15 мл""},{""recipe-steps"":""Используя коктейльную ложку, уложи слоями воду без газа 10 мл и абсент 15 мл""},{""recipe-steps"":""Аккуратно добавь через трубочку сахарный сироп 2 капли""},{""recipe-steps"":""Подожги и быстро выпей через трубочку""}]","Вам нравятся шоты? Тогда попробуйте этот крепкий травяной и горький коктейль на основе абсента.","background-image: url(""/uploads/cocktail/promo/744/1542205432-Rastafari-_promo.jpg"");"
"1585860605-851","https://ru.inshaker.com/cocktails?random_page=2000","Физз моряка","https://ru.inshaker.com/cocktails/1377-fizz-moryaka","[{""ingredient"":""Писко""},{""ingredient"":""Домашний джин на гибискусе и пряностях""},{""ingredient"":""Маурин квина""},{""ingredient"":""Сахарный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Содовая""},{""ingredient"":""Лимон""},{""ingredient"":""Розмарин""},{""ingredient"":""Лепестки роз""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""25""},{""ingredient amount"":""25""},{""ingredient amount"":""25""},{""ingredient amount"":""15""},{""ingredient amount"":""25""},{""ingredient amount"":""50""},{""ingredient amount"":""20""},{""ingredient amount"":""5""},{""ingredient amount"":""25""},{""ingredient amount"":""150""}]","[{""tool"":""Слинг""},{""tool"":""Джиггер""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Коктейльная ложка""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Физз моряка","[{""recipe-steps"":""Наполни слинг кубиками льда доверху""},{""recipe-steps"":""Налей лимонный сок 25 мл, сахарный сироп 15 мл и маурин квину 25 мл""},{""recipe-steps"":""Добавь писко 25 мл и домашний джин на гибискусе и пряностях 25 мл""},{""recipe-steps"":""Долей содовую доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась кружком лимона, веточкой розмарина и бутоном розы""}]","Вам нравятся лонги и физзы? Тогда попробуйте этот травяной коктейль на основе джина, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/1377/1542205636-Sailor_s_fizz_960%D1%85600.jpg"");"
"1585861068-1071","https://ru.inshaker.com/cocktails?random_page=2000","Фруктовая петля","https://ru.inshaker.com/cocktails/95-fruktovaya-petlya","[{""ingredient"":""Дженевер""},{""ingredient"":""Дженевер с маракуйей""},{""ingredient"":""Ликер вербены""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Цветы фиалки""},{""ingredient"":""Зеленый базилик""},{""ingredient"":""Сахарная пудра""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""45""},{""ingredient amount"":""15""},{""ingredient amount"":""10""},{""ingredient amount"":""22""},{""ingredient amount"":""2""},{""ingredient amount"":""3""},{""ingredient amount"":""5""},{""ingredient amount"":""200""}]","[{""tool"":""Коктейльный бокал""},{""tool"":""Шейкер""},{""tool"":""Стрейнер""},{""tool"":""Джиггер""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Ситечко""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Фруктовая петля","[{""recipe-steps"":""Положи в шейкер зеленый базилик 4 листика""},{""recipe-steps"":""Налей лимонный сок 22,5 мл, ликер вербены 10 мл, дженевер 45 мл и дженевер с маракуйей 15 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер и ситечко в охлажденный коктейльный бокал""},{""recipe-steps"":""Укрась листиком базилика, цветками фиалки и щепоткой сахарной пудры""}]","Вам нравятся шорты? Тогда попробуйте этот кислый, цитрусовый, травяной, пряный и тропический коктейль на основе джина, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/95/1542205100-The_fruit_loop-sitepromo-new.jpg"");"
"1585859129-229","https://ru.inshaker.com/cocktails?random_page=2000","Бурный олд фешен","https://ru.inshaker.com/cocktails/1300-burnyy-old-feshen","[{""ingredient"":""Мескаль""},{""ingredient"":""Односолодовый виски из хайленда The Macallan""},{""ingredient"":""Ликер мараскино BOLS""},{""ingredient"":""Ангостура биттер""},{""ingredient"":""Пишо биттер""},{""ingredient"":""Имбирный сироп""},{""ingredient"":""Сироп агавы""},{""ingredient"":""Грейпфрутовая цедра""},{""ingredient"":""Ледяной куб""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""15""},{""ingredient amount"":""45""},{""ingredient amount"":""3""},{""ingredient amount"":""4""},{""ingredient amount"":""2""},{""ingredient amount"":""3""},{""ingredient amount"":""3""},{""ingredient amount"":""1""},{""ingredient amount"":""1""},{""ingredient amount"":""300""}]","[{""tool"":""Рокс""},{""tool"":""Джиггер""},{""tool"":""Стакан для смешивания""},{""tool"":""Коктейльная ложка""},{""tool"":""Нож для цедры""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Бурный олд фешен","[{""recipe-steps"":""Положи в рокс ледяной куб""},{""recipe-steps"":""Налей в стакан для смешивания имбирный сироп 3 мл, сироп агавы 3 мл, ликер мараскино 3 мл и мескаль 15 мл""},{""recipe-steps"":""Добавь пишо биттер 2 дэш, ангостуру биттер 4 дэш и односолодовый виски из Хайленда 45 мл""},{""recipe-steps"":""Наполни стакан кубиками льда и размешай коктейльной ложкой""},{""recipe-steps"":""Перелей через стрейнер в рокс""},{""recipe-steps"":""Укрась грейпфрутовой цедрой""}]","Вам нравится олд фешен? Тогда попробуйте Бурный олд фешен. Это пряный коктейль на основе виски, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/1300/1542205605-Stormy_Old_Fashioned_960%D1%85600.jpg"");"
"1585859858-515","https://ru.inshaker.com/cocktails?random_page=2000","Брамбл","https://ru.inshaker.com/cocktails/1172-brambl","[{""ingredient"":""Лондонский сухой джин""},{""ingredient"":""Ежевичный ликер""},{""ingredient"":""Сахарный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Ежевика""},{""ingredient"":""Лимонная цедра""},{""ingredient"":""Лед в кубиках""},{""ingredient"":""Дробленый лед""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""5""},{""ingredient amount"":""15""},{""ingredient amount"":""20""},{""ingredient amount"":""12""},{""ingredient amount"":""1""},{""ingredient amount"":""120""},{""ingredient amount"":""60""}]","[{""tool"":""Рокс""},{""tool"":""Джиггер""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Коктейльная ложка""},{""tool"":""Коктейльная шпажка""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Брамбл","[{""recipe-steps"":""Наполни рокс кубиками льда доверху""},{""recipe-steps"":""Налей лимонный сок 20 мл и сахарный сироп 15 мл""},{""recipe-steps"":""Добавь ботаникал джин 50 мл и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Налей ликер ежевики 5 мл и добавь немного дробленого льда""},{""recipe-steps"":""Укрась лимонной цедрой и двумя ягодами ежевики на коктейльной шпажке""}]","Вам нравятся шорты? Тогда попробуйте этот кислый коктейль на основе джина, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/1172/1542205585-Bramble_960_600.jpg"");"
"1585861135-1103","https://ru.inshaker.com/cocktails?random_page=2000","Водка мятный чай","https://ru.inshaker.com/cocktails/282-vodka-myatnyy-chay","[{""ingredient"":""Водка Finlandia""},{""ingredient"":""Сахарный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Холодный зеленый чай""},{""ingredient"":""Мята""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""10""},{""ingredient amount"":""15""},{""ingredient amount"":""125""},{""ingredient amount"":""4""},{""ingredient amount"":""180""}]","[{""tool"":""Хайбол""},{""tool"":""Коктейльная ложка""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Джиггер""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Водка мятный чай","[{""recipe-steps"":""Положи в хайбол мяту 15 листьев""},{""recipe-steps"":""Наполни хайбол кубиками льда доверху""},{""recipe-steps"":""Налей лимонный сок 15 мл, сахарный сироп 10 мл и водку 50 мл""},{""recipe-steps"":""Долей холодный зеленый чай доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась веточкой мяты""}]","Вам нравятся лонги? Тогда попробуйте этот мятный коктейль на основе водки, алкогольный и слабоалкогольный.","background-image: url(""/uploads/cocktail/promo/282/1542205199-Vodka-with-Mint-Tea-_promo.jpg"");"
"1585860070-608","https://ru.inshaker.com/cocktails?random_page=2000","Северный человек","https://ru.inshaker.com/cocktails/809-severnyy-chelovek","[{""ingredient"":""Водка Finlandia""},{""ingredient"":""Сухой вермут""},{""ingredient"":""Ликер мараскино BOLS""},{""ingredient"":""Вишневый ликер BOLS""},{""ingredient"":""Апельсиновый биттер""},{""ingredient"":""Вода из цветков апельсина""},{""ingredient"":""Лайм""},{""ingredient"":""Лаймовая цедра""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""15""},{""ingredient amount"":""10""},{""ingredient amount"":""5""},{""ingredient amount"":""10""},{""ingredient amount"":""1""},{""ingredient amount"":""5""},{""ingredient amount"":""20""},{""ingredient amount"":""1""},{""ingredient amount"":""300""}]","[{""tool"":""Шампанское блюдце""},{""tool"":""Стакан для смешивания""},{""tool"":""Коктейльная ложка""},{""tool"":""Стрейнер""},{""tool"":""Нож для цедры""},{""tool"":""Джиггер""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Северный человек","[{""recipe-steps"":""Налей в стакан для смешивания ликер мараскино 5 мл, вишневый ликер 10 мл, сухой вермут 10 мл и водку 15 мл""},{""recipe-steps"":""Добавь апельсиновый биттер 1 дэш и воду из цветков апельсина 5 мл""},{""recipe-steps"":""Наполни стакан кубиками льда и размешай коктейльной ложкой""},{""recipe-steps"":""Перелей через стрейнер в охлажденное шампанское блюдце""},{""recipe-steps"":""Проведи по краю бокала долькой лайма и укрась лаймовой цедрой""}]","Вам нравятся шорты? Тогда попробуйте этот кислый, цитрусовый и цветочный коктейль на основе водки, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/809/1542205472-North-Man-_promo.jpg"");"
"1585859117-223","https://ru.inshaker.com/cocktails?random_page=2000","Пьяный дядя","https://ru.inshaker.com/cocktails/105-pyanyy-dyadya","[{""ingredient"":""Односолодовый виски с острова айла Laphroaig""},{""ingredient"":""Белый вермут""},{""ingredient"":""Чинар""},{""ingredient"":""Грейпфрутовая цедра""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""45""},{""ingredient amount"":""22""},{""ingredient amount"":""22""},{""ingredient amount"":""1""},{""ingredient amount"":""300""}]","[{""tool"":""Шампанское блюдце""},{""tool"":""Стакан для смешивания""},{""tool"":""Стрейнер""},{""tool"":""Джиггер""},{""tool"":""Нож для цедры""},{""tool"":""Коктейльная ложка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Пьяный дядя","[{""recipe-steps"":""Налей в стакан для смешивания белый вермут 22,5 мл, чинар 22,5 мл и односолодовый виски с острова Айла 45 мл""},{""recipe-steps"":""Наполни стакан кубиками льда и размешай коктейльной ложкой""},{""recipe-steps"":""Перелей через стрейнер в охлажденное шампанское блюдце""},{""recipe-steps"":""Укрась грейпфрутовой цедрой""}]","Вам нравятся шорты? Тогда попробуйте этот травяной и сладкий коктейль на основе виски, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/105/1542205105-Drunk_Uncle-sitepromo-new.jpg"");"
"1585859377-335","https://ru.inshaker.com/cocktails?random_page=2000","Самоан фог каттер 2","https://ru.inshaker.com/cocktails/801-samoan-fog-katter-2","[{""ingredient"":""Белый ром Bacardi""},{""ingredient"":""Лондонский сухой джин""},{""ingredient"":""Вишневый ликер BOLS""},{""ingredient"":""Херес фино""},{""ingredient"":""Грейпфрутовый биттер""},{""ingredient"":""Миндальный сироп""},{""ingredient"":""Лимонный сок""},{""ingredient"":""Апельсиновый сок""},{""ingredient"":""Ананасовые листья""},{""ingredient"":""Апельсиновая цедра""},{""ingredient"":""Коктейльная вишня красная""},{""ingredient"":""Дробленый лед""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""40""},{""ingredient amount"":""30""},{""ingredient amount"":""25""},{""ingredient amount"":""30""},{""ingredient amount"":""2""},{""ingredient amount"":""20""},{""ingredient amount"":""15""},{""ingredient amount"":""80""},{""ingredient amount"":""2""},{""ingredient amount"":""1""},{""ingredient amount"":""5""},{""ingredient amount"":""200""},{""ingredient amount"":""200""}]","[{""tool"":""Слинг""},{""tool"":""Шейкер""},{""tool"":""Пресс для цитрусовых""},{""tool"":""Стрейнер""},{""tool"":""Нож для цедры""},{""tool"":""Джиггер""},{""tool"":""Трубочки""},{""tool"":""Коктейльная шпажка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""},{""tool-amount"":""1""}]","Самоан фог каттер 2","[{""recipe-steps"":""Наполни слинг дробленым льдом доверху""},{""recipe-steps"":""Налей в шейкер лимоннный сок 15 мл, апельсиновый сок 80 мл, миндальный сироп 20 мл, херес фино 30 мл, вишневый ликер 25 мл, джин 30 мл и белый ром 40 мл""},{""recipe-steps"":""Добавь грейпфрутовый биттер 2 дэш""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер в слинг""},{""recipe-steps"":""Укрась апельсиновой цедрой, коктейльной вишней и ананасовыми листьями на шпажке""}]","Вам нравятся лонги и тики-коктейли? Тогда попробуйте этот цитрусовый и сладкий коктейль на основе рома, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/801/1542205468-Samoan_Fog_Cutter-promo.jpg"");"
"1585860308-720","https://ru.inshaker.com/cocktails?random_page=2000","Тики мастер","https://ru.inshaker.com/cocktails/94-tiki-master","[{""ingredient"":""Выдержанный ром Bacardi""},{""ingredient"":""Банановый ликер желтый BOLS""},{""ingredient"":""Егермейстер""},{""ingredient"":""Ванильный сироп""},{""ingredient"":""Ананасовый сок""},{""ingredient"":""Яблочный сок""},{""ingredient"":""Банан""},{""ingredient"":""Ананасовые листья""},{""ingredient"":""Молотая корица""},{""ingredient"":""Дробленый лед""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""40""},{""ingredient amount"":""20""},{""ingredient amount"":""20""},{""ingredient amount"":""5""},{""ingredient amount"":""20""},{""ingredient amount"":""15""},{""ingredient amount"":""30""},{""ingredient amount"":""2""},{""ingredient amount"":""5""},{""ingredient amount"":""300""},{""ingredient amount"":""200""}]","[{""tool"":""Тики-бокал""},{""tool"":""Шейкер""},{""tool"":""Стрейнер""},{""tool"":""Джиггер""},{""tool"":""Коктейльная шпажка""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Тики мастер","[{""recipe-steps"":""Наполни тики-бокал дробленым льдом доверху""},{""recipe-steps"":""Налей в шейкер яблочный сок 15 мл, ананасовый сок 20 мл, ванильный сироп 5 мл, банановый ликер желтый 20 мл, егермейстер 20 мл и выдержанный ром 40 мл""},{""recipe-steps"":""Наполни шейкер кубиками льда и взбей""},{""recipe-steps"":""Перелей через стрейнер в тики-бокал""},{""recipe-steps"":""Укрась ананасовыми листьями, кружками банана на шпажке и припудри молотой корицей""}]","Вам нравятся тики-коктейли? Тогда попробуйте этот крепкий травяной, пряный, цитрусовый, тропический и сладкий коктейль на основе рома.","background-image: url(""/uploads/cocktail/promo/94/1542205098-Tiki_Master-sitepromo-new.jpg"");"
"1585860568-833","https://ru.inshaker.com/cocktails?random_page=2000","Транссибирский экспресс","https://ru.inshaker.com/cocktails/893-transsibirskiy-ekspress","[{""ingredient"":""Водка Finlandia""},{""ingredient"":""Апельсиновый сок""},{""ingredient"":""Апельсин""},{""ingredient"":""Розмарин""},{""ingredient"":""Облепиховый джем""},{""ingredient"":""Корень имбиря""},{""ingredient"":""Дробленый лед""}]","[{""ingredient amount"":""50""},{""ingredient amount"":""100""},{""ingredient amount"":""30""},{""ingredient amount"":""3""},{""ingredient amount"":""10""},{""ingredient amount"":""5""},{""ingredient amount"":""200""}]","[{""tool"":""Хайбол""},{""tool"":""Мадлер""},{""tool"":""Коктейльная ложка""},{""tool"":""Джиггер""},{""tool"":""Подстаканник""},{""tool"":""Трубочки""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""2""}]","Транссибирский экспресс","[{""recipe-steps"":""Положи в хайбол дольку корня имбиря, облепиховый джем 2 к. ложки и подави мадлером""},{""recipe-steps"":""Наполни хайбол дробленым льдом доверху""},{""recipe-steps"":""Налей водку 50 мл""},{""recipe-steps"":""Долей апельсиновый сок доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Досыпь немного дробленого льда""},{""recipe-steps"":""Поставь хайбол в подстаканник и укрась веточкой розмарина и кружком апельсина""}]","Вам нравятся лонги? Тогда попробуйте этот крепкий ягодный, цитрусовый, пряный и сладкий коктейль на основе водки.","background-image: url(""/uploads/cocktail/promo/893/1542205505-Trans-Siberian-Express-_promo.jpg"");"
"1585859554-403","https://ru.inshaker.com/cocktails?random_page=2000","Джин тоник с халвой","https://ru.inshaker.com/cocktails/1283-dzhin-tonik-s-halvoy","[{""ingredient"":""Домашний банановый джин""},{""ingredient"":""Домашний джин на тахини""},{""ingredient"":""Тоник""},{""ingredient"":""Вода из цветков апельсина""},{""ingredient"":""Розовая вода""},{""ingredient"":""Жареный арахис""},{""ingredient"":""Черный шоколад""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""30""},{""ingredient amount"":""20""},{""ingredient amount"":""120""},{""ingredient amount"":""3""},{""ingredient amount"":""3""},{""ingredient amount"":""5""},{""ingredient amount"":""5""},{""ingredient amount"":""180""}]","[{""tool"":""Коньячный бокал""},{""tool"":""Джиггер""},{""tool"":""Коктейльная ложка""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Джин тоник с халвой","[{""recipe-steps"":""Наполни коньячный бокал кубиками льда доверху""},{""recipe-steps"":""Налей домашний джин на тахини 20 мл и домашний джин на банане 30 мл""},{""recipe-steps"":""Добавь воду из цветков апельсина 3 дэш и розовую воду 3 дэш""},{""recipe-steps"":""Долей тоник доверху и аккуратно размешай коктейльной ложкой""},{""recipe-steps"":""Укрась бокал топленым черным шоколадом и дробленым жареным арахисом""}]","Вам нравятся лонги и физзы? Тогда попробуйте этот горький коктейль на основе джина, алкогольный и слабоалкогольный.","background-image: url(""/uploads/cocktail/promo/1283/1542205599-Halva_Gin_Tonic_960%D1%85600.jpg"");"
"1585861256-1161","https://ru.inshaker.com/cocktails?random_page=2000","Клабленд","https://ru.inshaker.com/cocktails/471-klablend","[{""ingredient"":""Водка Finlandia""},{""ingredient"":""Белый вермут""},{""ingredient"":""Сухой вермут""},{""ingredient"":""Херес педро хименес""},{""ingredient"":""Ангостура биттер""},{""ingredient"":""Апельсиновая цедра""},{""ingredient"":""Лед в кубиках""}]","[{""ingredient amount"":""40""},{""ingredient amount"":""10""},{""ingredient amount"":""10""},{""ingredient amount"":""5""},{""ingredient amount"":""1""},{""ingredient amount"":""1""},{""ingredient amount"":""300""}]","[{""tool"":""Шампанское блюдце""},{""tool"":""Стакан для смешивания""},{""tool"":""Коктейльная ложка""},{""tool"":""Стрейнер""},{""tool"":""Нож для цедры""},{""tool"":""Джиггер""}]","[{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""},{""tool-amount"":""1""}]","Клабленд","[{""recipe-steps"":""Налей в стакан для смешивания херес педро хименес 5 мл, белый вермут 10 мл, сухой вермут 10 мл и водку 40 мл""},{""recipe-steps"":""Добавь ангостуру биттер 1 дэш""},{""recipe-steps"":""Наполни стакан кубиками льда и размешай коктейльной ложкой""},{""recipe-steps"":""Перелей через стрейнер в охлажденное шампанское блюдце""},{""recipe-steps"":""Укрась апельсиновой цедрой""}]","Вам нравятся шорты? Тогда попробуйте этот сладкий и сухой коктейль на основе водки, алкогольный и крепкий.","background-image: url(""/uploads/cocktail/promo/471/1542205316-Clubland-_promo.jpg"");"
